code,state,count,statepop2018census,normalizedcount
DE,Delaware,5068,"967,171",524.0024773
GA,Georgia,55115,"10,519,475",523.932991
MD,Maryland,29747,"6,042,718",492.2784747
FL,Florida,103126,"21,299,325",484.174968
NJ,New Jersey,38905,"8,908,520",436.716761
NV,Nevada,13173,"3,034,392",434.1232115
NY,New York,70991,"19,542,209",363.2700889
CA,California,143043,"39,557,045",361.6119455
VA,Virginia,30530,"8,517,685",358.4307238
IL,Illinois,41092,"12,741,080",322.5158307
CT,Connecticut,11474,"3,572,665",321.1608141
NC,North Carolina,32810,"10,383,620",315.9784353
SC,South Carolina,15906,"5,084,127",312.8560715
AZ,Arizona,22289,"7,171,646",310.793366
TX,Texas,87875,"28,701,845",306.164987
CO,Colorado,16665,"5,695,564",292.5961327
NH,New Hampshire,3883,"1,356,458",286.2602454
PA,Pennsylvania,36216,"12,807,060",282.7815283
RI,Rhode Island,2987,"1,057,315",282.5080511
OH,Ohio,31466,"11,689,442",269.1830799
MA,Massachusetts,18542,"6,902,149",268.6409696
WA,Washington,20038,"7,535,591",265.9114594
LA,Louisiana,12057,"4,659,978",258.7351271
TN,Tennessee,17348,"6,770,010",256.2477751
OR,Oregon,10583,"4,190,713",252.5345926
MI,Michigan,24582,"9,995,915",245.9204585
MO,Missouri,14801,"6,126,452",241.5917076
AL,Alabama,11778,"4,887,871",240.9638061
HI,Hawaii,3247,"1,420,491",228.5829336
VT,Vermont,1402,"626,299",223.8547403
ME,Maine,2978,"1,338,404",222.503818
NM,New Mexico,4566,"2,095,428",217.9029773
UT,Utah,6533,"3,161,105",206.6682378
MS,Mississippi,6007,"2,986,530",201.1364359
MN,Minnesota,11036,"5,611,179",196.6788085
WI,Wisconsin,10749,"5,813,568",184.8950593
ID,Idaho,3156,"1,754,208",179.9102501
IN,Indiana,11821,"6,691,878",176.6469741
KS,Kansas,5087,"2,911,505",174.7206342
AR,Arkansas,5144,"3,013,825",170.6801158
KY,Kentucky,7447,"4,468,402",166.6591323
OK,Oklahoma,6535,"3,943,079",165.7334281
WY,Wyoming,896,"577,737",155.0878687
NE,Nebraska,2975,"1,929,268",154.2035632
AK,Alaska,1135,"737,438",153.9112441
MT,Montana,1627,"1,062,305",153.1575207
SD,South Dakota,1307,"882,235",148.1464689
WV,West Virginia,2484,"1,805,832",137.554324
ND,North Dakota,1002,"760,077",131.8287489
IA,Iowa,4128,"3,156,145",130.7924699
,,,,
